,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
1122,0.0024946348,0.19763477,0.0004262036,8.039577e-05,2.3780523e-05,0.0005609786,0.0013590971,0.00016765564,2.9174558e-05,0.00095949695,0.3049396,0.00012588514,0.0018687487,0.00037664053,0.00023256583,0.00018695243,0.0037855504,0.026594697,0.04730189,0.0073539494,0.0005722865,0.0008543744,7.4872536e-05,0.0007336262,0.0006791691,0.00036226914,0.00013760579,0.051114716,0.0019061225,8.6904176e-05,0.0009456817,0.000398783,2.3236616e-05,0.00072265393,0.0082695065,0.00080515834,0.00016983614,0.03532488,0.0001835205,0.000101558806,0.0014453306,0.00014607917,0.0032829687,0.00012277643,0.02863846,0.00028455,0.1043189,0.14313108,0.011490089,9.544655e-05,0.00040074255,0.0029464683,8.779379e-06,5.39926e-07,0.00012684356,0.00045717778,0.0008107847,0.00069462456,0.000916419,2.2421043e-05,0.0005586279,0.0001314665
1155,0.0030420169,0.06462188,0.011631625,0.00016299351,8.378252e-05,0.0016972609,0.0013038282,0.0009372055,3.8570088e-05,0.00019414551,0.2737956,0.00016821457,0.0044092895,0.0004906946,0.0005764788,2.6405247e-05,0.0008332415,0.0037133954,0.19603254,0.0032337364,0.0068962635,9.274587e-05,0.001596949,0.00041063628,0.0018105666,0.0072438424,0.00024346553,0.005373898,0.0014342755,1.798079e-06,0.0001291179,0.017001327,2.820827e-05,0.0023869355,0.025677666,0.0013805941,0.0001100011,0.02774004,0.000357431,0.00036789806,0.00012317853,0.00034116997,0.0002861845,0.004622828,0.010946908,0.0014008465,0.14548998,0.15908618,0.000890103,3.4980785e-05,0.00084167294,0.0059094876,7.2120697e-06,2.284251e-07,0.0001621319,2.812505e-05,0.0010497821,0.000585534,0.00040292589,0.00013612448,9.727228e-05,0.00028055496
1188,0.00079385255,0.057836283,0.00033492953,9.8567216e-05,0.00039870435,0.0041525736,0.017836163,0.00043128597,0.0016646178,0.052662127,0.53049076,4.2464144e-05,0.0016954304,1.698468e-05,0.00023425267,0.00028609205,0.000598488,0.006561993,0.00011536342,0.00034102393,0.010612064,0.00051110267,0.0020111902,0.0001916954,0.002747793,0.0006689516,7.425051e-07,0.0011445192,0.0031080644,1.3055459e-06,0.0038318103,0.0025043772,3.3929134e-06,0.0014067041,0.005843767,0.0034166418,0.00034612807,0.042045068,0.038071923,0.0002416878,0.00043025505,6.0598064e-05,0.0017386145,0.0024991941,6.3287596e-05,0.00033934854,0.07076543,0.023461336,0.0018888128,0.0046252883,5.712268e-05,0.05209766,2.9733377e-05,4.8029265e-06,0.04103727,9.898086e-05,2.5008256e-05,0.0038649417,4.6758712e-05,0.0014992639,3.8967297e-05,2.654864e-05
1221,0.00013152134,0.030001856,0.00070372294,0.00010768567,1.4859161e-05,0.0005889537,0.16526188,0.0038404767,0.0021891135,0.04274899,0.07626037,1.0726595e-05,0.0039083078,0.00019995723,1.1116381e-05,0.0007083163,0.002479697,0.001620362,0.00027297426,0.0008325483,0.012654202,0.0011786498,1.1649868e-05,3.198408e-05,0.00067902013,0.00018924777,2.2516339e-07,0.01071966,0.019011883,1.9345828e-06,0.00043527532,0.0004177191,1.7429006e-06,0.005385431,0.002065368,0.018010875,0.010879,0.32105622,0.0011461498,0.00032634838,0.0017735576,0.0012864285,0.00758886,0.00038029408,0.00019448623,0.003244117,0.04524508,0.009378017,0.042308234,0.0018263754,0.00032978287,0.008852998,7.926026e-05,0.00041696534,0.1071448,0.0013138518,1.5251024e-06,0.015471707,0.00012791198,0.009066975,2.727558e-05,0.007845346
1254,0.00024848513,0.0018794559,0.00047416208,7.154841e-05,1.4727404e-05,0.0030939789,0.14686753,0.00038634017,0.010498675,0.040532168,0.029707663,1.4710531e-05,0.017357836,0.0027496207,1.1443546e-05,0.00017438811,0.0001487059,0.0052569765,0.0011800952,0.00039500592,0.012782282,4.8295606e-05,1.2558781e-05,0.00046091585,0.00091796793,0.00016769896,2.3317229e-07,0.020644642,0.0012897567,3.0135328e-05,0.00063388416,0.0005353463,4.1595335e-06,0.004023415,0.003134291,0.035655126,0.0888014,0.024311021,0.043245196,0.0006058493,0.004762501,0.000540334,0.0025430287,0.00049730856,0.00068459613,0.0027956578,0.119858004,0.04792746,0.02828673,0.005151789,0.0021972593,0.0065599578,0.00250566,0.00036320818,0.16755722,0.0022039819,3.9655642e-06,0.09694183,0.00023299383,0.00642784,1.6820779e-05,0.0035742081
1287,0.0006006063,0.015396263,0.00027272932,1.1738334e-05,1.095318e-05,0.0047303336,0.027865602,0.0014175178,0.0044901804,0.5717329,0.011424031,3.3840997e-06,0.00058004365,0.001109344,0.00012007213,0.00028635314,0.0012449042,0.0011315773,9.047578e-05,1.2619165e-05,0.017327806,2.5765481e-05,1.4689306e-05,6.1833765e-05,1.2790284e-05,0.00025249933,1.2423811e-07,0.012833714,0.00050378824,0.00034961227,0.00023341029,0.00025196286,2.0802013e-06,0.0064748074,0.0027677251,0.024476707,0.016291589,0.009242308,0.011673737,0.018042373,0.014407505,0.0013422326,0.030904092,0.00010622222,4.2314236e-06,0.016370196,0.0029299995,0.0010593663,0.10098115,0.00019664843,5.1136016e-05,0.0093171,0.0010871729,0.0013121766,0.007959071,0.0020469427,1.3092966e-06,0.038120974,0.0054339455,0.0019646708,0.0005209132,0.0005119778
1320,0.00012426182,0.7573846,0.002866509,2.3304101e-05,1.6889052e-06,0.00068868964,0.014930295,0.00043231156,0.00020034834,0.011393894,0.018610163,4.9765104e-06,0.00027575486,2.5829606e-05,0.0019589,3.8149643e-05,0.00047239428,0.0010440459,0.00013363057,7.632366e-06,0.0063453037,5.0082144e-06,4.6804736e-05,4.380728e-06,3.8205493e-05,0.00041741316,3.9828294e-07,0.0046865228,8.487066e-05,2.6846951e-06,0.00014822355,0.0019036517,8.501942e-07,0.0066261753,0.0013885087,0.00145557,0.04604972,0.036573622,0.0041606072,0.00082666765,0.0011363953,0.00056100806,0.041673977,0.00070824486,1.0380403e-05,0.005076947,0.0016068156,0.0005293405,0.001696397,3.585415e-05,0.00013406127,0.021110734,5.598712e-05,0.00011418871,0.0025853615,0.0001410106,4.0250252e-05,0.00056885544,0.00035914662,0.00028904298,3.490855e-05,0.00014854474
1353,0.000107702246,0.855817,0.017095903,0.00041416357,7.765061e-06,0.00024337738,0.010889243,0.00089834334,1.1674008e-05,0.0027083515,0.02158948,2.0371399e-05,0.00036954737,1.3014781e-05,0.0021216457,1.3129203e-06,3.6867194e-05,8.454867e-05,9.318928e-06,3.2290166e-07,0.0042973855,5.66002e-07,5.9995902e-05,2.9126936e-06,3.2814073e-06,0.0008461235,4.490433e-08,0.0031327659,0.00073186087,1.043947e-06,0.00013860532,0.00014645258,5.0348317e-06,0.00050161505,0.0017806167,0.0038314855,0.01634206,0.010589536,0.00012096384,0.0012672944,0.001672289,3.8689483e-05,0.014564328,0.0035406915,6.7938566e-07,0.006169432,0.00026531296,0.00064330525,0.0008175694,3.753805e-06,1.0329888e-05,0.002719328,0.00020118941,1.2865178e-05,0.008008263,0.00022615233,0.00024062907,0.0029187447,0.0014124155,3.6050173e-05,8.908814e-05,0.00016939685
1386,0.00056402193,0.7437067,0.007774351,7.4066185e-05,0.00014831236,7.118806e-05,0.012939626,0.00030892264,5.7210214e-06,0.0014988543,0.017912686,4.1030567e-06,0.00020628517,3.1068912e-06,0.00034070638,2.6390283e-06,0.00011399125,0.0005773399,1.7062378e-06,9.3292685e-05,0.007981285,6.366366e-07,3.724712e-05,5.4697328e-05,7.664985e-05,0.022724979,7.879521e-07,0.003951926,0.001229232,3.8831977e-06,0.00024362998,6.756763e-05,4.1750076e-07,6.3909196e-05,0.051728517,0.03868924,0.01717098,0.009462424,0.0019517551,2.033483e-06,0.00041291784,2.245905e-05,0.009935564,0.00039826013,9.112497e-06,0.009566372,4.8916605e-05,7.510358e-05,0.00010103954,0.0014697234,2.2094996e-06,0.030217988,3.837119e-05,0.0017638633,0.00072653795,0.0005482189,2.8193052e-05,0.0016694053,0.0011458854,3.2704463e-06,9.602418e-06,1.7470675e-05
1419,0.016459081,0.005782623,0.00806912,0.00022733316,2.7469865e-05,0.00029883883,0.007112936,0.0007368457,0.00024680566,0.011464252,0.0047531417,3.2520816e-06,0.00040485992,0.00074767775,0.00019929203,6.8228444e-05,0.00051248947,0.084829524,1.602753e-05,7.2544e-05,0.011509428,1.5559977e-05,2.0303682e-05,0.00026677843,0.00030311773,0.0024826261,1.1403872e-06,0.019376168,0.0013715717,8.168578e-06,0.00033736366,0.000103575665,2.3066814e-07,0.00050642167,0.015562346,0.08045074,0.0020234908,0.0011951166,0.522217,2.836685e-05,0.0004970851,1.5911937e-05,0.036679037,0.00021482517,2.7968224e-05,0.012447413,0.027333066,6.220104e-05,0.00024997647,0.0011857993,1.2498978e-06,0.0029760674,6.664507e-05,0.0062537882,0.00048693366,0.00020944659,1.1824786e-06,0.10919508,0.001494976,9.16167e-06,1.9315469e-06,0.00077844714
1452,0.00038187296,7.079476e-05,0.0031486694,1.4500408e-05,1.6437787e-06,5.3783737e-05,0.00090294855,1.2068981e-05,0.00012175145,9.0087604e-05,0.0054018064,1.27285975e-05,0.00024246909,3.0095198e-05,6.8514883e-06,0.0020051927,0.00019056795,0.73349106,0.0014595394,0.0007394086,0.00010274499,2.6892187e-05,5.023309e-06,0.017013289,0.0007525596,0.002036196,0.0004975804,0.122958764,0.00016416104,0.00043692844,0.0011109543,9.48659e-06,3.247458e-06,2.0275502e-05,0.0044250423,0.0024081918,0.0033785794,0.0006301073,0.04215095,1.3556682e-05,0.0002100398,5.2074015e-06,0.00034412538,1.6857703e-05,0.00019069089,0.0015470844,0.04969547,0.00018437263,5.2601357e-05,0.00027834694,0.00021666942,0.00019452805,2.3184743e-05,1.2317987e-05,7.4943046e-06,9.31088e-06,1.9091016e-05,0.00022305235,1.688648e-05,4.379931e-06,5.1122242e-06,0.00022092408
1485,0.00010377904,0.00077642937,0.0056015765,0.000115904164,5.73371e-05,0.00037064753,0.008668778,4.3263753e-05,0.00019465534,0.0007109499,0.04809067,0.00016369186,0.0008220433,0.00077741174,0.0005125509,0.004049171,0.0016391439,0.35846826,0.00253214,0.00044233774,0.00017204325,0.00079199637,7.195693e-05,0.058952976,0.000504836,0.00025325033,2.1804603e-06,0.0023482966,0.0008992888,1.702546e-05,0.0024660667,0.00057227,3.820996e-06,0.00017229261,6.47072e-05,0.00024275873,0.0005919511,0.020111132,0.0075786654,8.275211e-05,7.033872e-06,1.2427118e-06,0.0015155083,0.00039487585,0.0013593591,0.012942874,0.43991733,0.0006786357,0.00045398914,3.1786538e-05,5.2162424e-05,1.7159226e-05,0.00047184183,1.5561543e-06,1.8741406e-05,1.938034e-05,0.00012916965,0.007383459,2.7202372e-05,2.3435066e-05,0.00013273316,0.004379493
1518,1.2916328e-05,0.054853432,8.426246e-05,0.00011455804,1.63744e-05,7.689191e-06,0.0012186464,4.0654188e-05,5.497977e-05,0.0022456094,0.09380244,1.253006e-05,0.0010822777,0.0002684846,0.00016229632,7.7450866e-05,0.01737657,0.30922496,0.0015566221,0.038646184,5.235534e-05,0.00019001924,5.7182126e-05,0.00033754806,0.00420711,2.7650087e-05,7.529178e-05,0.057159286,0.00016169406,1.2538919e-05,0.00012787324,0.0058973343,3.336365e-05,0.005526345,0.000711274,0.00045153615,0.00042537798,0.07693615,0.0002861341,1.7475524e-05,6.955076e-05,2.3528057e-06,0.0052666566,9.6672426e-05,0.005980399,0.0010704957,0.28295213,0.012875001,0.0010671368,0.000109948676,0.00011904871,4.01493e-05,1.9093966e-05,2.57344e-05,0.00020971862,5.9888476e-05,0.0042911074,0.0031066893,0.00033593038,3.4319903e-05,0.00056446175,0.008151093
